timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.651611328125,-0.193115234375,-0.614990234375,-0.39971923828125,0.83258056640625,0.5360107421875,0.11138916015625,0.08404541015625,-0.13189697265625,-0.21624755859375,0.9658203125,0.053955078125,-0.20635986328125,-0.2037353515625,0.94842529296875,0.127685546875,-0.1318359375,-0.25299072265625,0.82623291015625,0.485595703125,-0.073974609375,-0.18499755859375,0.94482421875,0.259765625
1,0.651611328125,-0.193115234375,-0.614990234375,-0.39971923828125,0.83258056640625,0.5360107421875,0.11138916015625,0.08404541015625,-0.13189697265625,-0.21624755859375,0.9658203125,0.053955078125,-0.20635986328125,-0.2037353515625,0.94842529296875,0.127685546875,-0.13134765625,-0.252685546875,0.8262939453125,0.48590087890625,-0.073974609375,-0.18499755859375,0.94482421875,0.259765625
2,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13226318359375,-0.21624755859375,0.9658203125,0.0538330078125,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.1317138671875,-0.2525634765625,0.8262939453125,0.48583984375,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
3,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13177490234375,-0.21630859375,0.9658203125,0.0540771484375,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.1317138671875,-0.2525634765625,0.8262939453125,0.48583984375,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
4,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13177490234375,-0.21630859375,0.9658203125,0.0540771484375,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.1317138671875,-0.2525634765625,0.8262939453125,0.48583984375,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
5,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13177490234375,-0.21630859375,0.9658203125,0.0540771484375,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.1317138671875,-0.2525634765625,0.8262939453125,0.48583984375,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
6,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13177490234375,-0.21630859375,0.9658203125,0.0540771484375,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.1317138671875,-0.2525634765625,0.8262939453125,0.48583984375,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
7,0.65142822265625,-0.193115234375,-0.61529541015625,-0.39959716796875,0.8323974609375,0.5362548828125,0.111328125,0.08404541015625,-0.13177490234375,-0.21630859375,0.9658203125,0.0540771484375,-0.20623779296875,-0.20355224609375,0.948486328125,0.12799072265625,-0.13128662109375,-0.25244140625,0.8262939453125,0.4859619140625,-0.07354736328125,-0.1849365234375,0.94482421875,0.260009765625
8,0.65130615234375,-0.19293212890625,-0.615478515625,-0.39947509765625,0.83245849609375,0.5361328125,0.111328125,0.084228515625,-0.1319580078125,-0.21636962890625,0.9658203125,0.05389404296875,-0.20611572265625,-0.2034912109375,0.948486328125,0.1278076171875,-0.13153076171875,-0.25244140625,0.826416015625,0.48577880859375,-0.07342529296875,-0.1849365234375,0.94488525390625,0.2598876953125
9,0.65130615234375,-0.19293212890625,-0.615478515625,-0.39947509765625,0.83245849609375,0.5361328125,0.111328125,0.084228515625,-0.13177490234375,-0.21612548828125,0.96588134765625,0.05389404296875,-0.20611572265625,-0.2034912109375,0.948486328125,0.1278076171875,-0.13153076171875,-0.25244140625,0.826416015625,0.48577880859375,-0.07342529296875,-0.1849365234375,0.94488525390625,0.2598876953125
