timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
0,0.9959716796875,-0.04974365234375,-0.0035400390625,0.07403564453125,0.54443359375,0.41900634765625,0.44097900390625,0.57745361328125,0.98443603515625,0.119873046875,0.12811279296875,0.001953125,0.96563720703125,0.0706787109375,0.059326171875,0.2427978515625,0.977294921875,-0.1583251953125,-0.0731201171875,0.11993408203125,0.9617919921875,-0.27288818359375,0.0213623046875,0.00482177734375
1,0.9959716796875,-0.04974365234375,-0.0035400390625,0.07403564453125,0.54443359375,0.41900634765625,0.44097900390625,0.57745361328125,0.98443603515625,0.119873046875,0.12799072265625,0.001953125,0.96563720703125,0.0706787109375,0.059326171875,0.2427978515625,0.977294921875,-0.1583251953125,-0.0731201171875,0.11993408203125,0.9617919921875,-0.27288818359375,0.0213623046875,0.00482177734375
2,0.9959716796875,-0.04974365234375,-0.0035400390625,0.07403564453125,0.54443359375,0.41900634765625,0.44097900390625,0.57745361328125,0.98443603515625,0.119873046875,0.12799072265625,0.001953125,0.96563720703125,0.0706787109375,0.059326171875,0.2427978515625,0.977294921875,-0.1583251953125,-0.0731201171875,0.11993408203125,0.9617919921875,-0.27288818359375,0.0213623046875,0.00482177734375
3,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41912841796875,0.44085693359375,0.57745361328125,0.98443603515625,0.12005615234375,0.1280517578125,0.00189208984375,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.97735595703125,-0.15814208984375,-0.0731201171875,0.11981201171875,0.9617919921875,-0.272705078125,0.02142333984375,0.00482177734375
4,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41888427734375,0.44091796875,0.57757568359375,0.98443603515625,0.12005615234375,0.1280517578125,0.00189208984375,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.977294921875,-0.15838623046875,-0.0732421875,0.11981201171875,0.96173095703125,-0.2730712890625,0.02105712890625,0.00482177734375
5,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41888427734375,0.44091796875,0.57757568359375,0.98443603515625,0.12005615234375,0.1280517578125,0.00189208984375,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.977294921875,-0.15838623046875,-0.0732421875,0.11981201171875,0.96173095703125,-0.2730712890625,0.02105712890625,0.00482177734375
6,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41888427734375,0.44091796875,0.57757568359375,0.98443603515625,0.12005615234375,0.1280517578125,0.00189208984375,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.977294921875,-0.15838623046875,-0.0732421875,0.11981201171875,0.96173095703125,-0.2730712890625,0.02105712890625,0.00482177734375
7,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41888427734375,0.44091796875,0.57757568359375,0.98443603515625,0.12005615234375,0.1280517578125,0.00189208984375,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.977294921875,-0.15838623046875,-0.0732421875,0.11981201171875,0.96173095703125,-0.2730712890625,0.02105712890625,0.00482177734375
8,0.9959716796875,-0.0499267578125,-0.00360107421875,0.0740966796875,0.54437255859375,0.41888427734375,0.44091796875,0.57757568359375,0.9844970703125,0.11993408203125,0.127685546875,0.001953125,0.96563720703125,0.07073974609375,0.05914306640625,0.2427978515625,0.977294921875,-0.15838623046875,-0.0732421875,0.11981201171875,0.96173095703125,-0.2730712890625,0.02105712890625,0.00482177734375
9,0.9959716796875,-0.05010986328125,-0.00390625,0.07415771484375,0.544189453125,0.419189453125,0.44097900390625,0.5775146484375,0.98443603515625,0.1201171875,0.1279296875,0.00189208984375,0.96563720703125,0.0709228515625,0.058837890625,0.2427978515625,0.97735595703125,-0.15814208984375,-0.072998046875,0.11981201171875,0.96173095703125,-0.27288818359375,0.0213623046875,0.00482177734375
