gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture1",19,27,0.868896,-0.259827,0.4198,-0.034912,0.517578,0.53241,-0.13147,0.656738,0.784973,0.235413,-0.569824,-0.059448,0.808594,0.054443,-0.579468,-0.085327,0.664429,-0.198853,-0.689392,-0.208984,0.649475,-0.388977,-0.611328,-0.230408
"Gesture1",19,28,0.869446,-0.259338,0.418945,-0.035461,0.519104,0.532166,-0.13147,0.65564,0.785278,0.235107,-0.569458,-0.060242,0.809509,0.054565,-0.578125,-0.086121,0.66626,-0.199097,-0.687378,-0.209534,0.650208,-0.389343,-0.610107,-0.230835
"Gesture1",19,29,0.86969,-0.259094,0.418457,-0.035767,0.52063,0.531982,-0.131592,0.654663,0.785217,0.23584,-0.569031,-0.062195,0.810242,0.055176,-0.576904,-0.086975,0.667847,-0.198914,-0.68573,-0.210022,0.651001,-0.389404,-0.608887,-0.231628
"Gesture1",19,30,0.869751,-0.258789,0.418579,-0.035583,0.521606,0.531555,-0.131714,0.654175,0.784973,0.237915,-0.568237,-0.064392,0.810547,0.056702,-0.576172,-0.087769,0.668701,-0.198486,-0.685059,-0.209778,0.650757,-0.389343,-0.609131,-0.231934
"Gesture1",19,31,0.869446,-0.258362,0.419495,-0.034973,0.521973,0.53064,-0.132141,0.65448,0.783447,0.238708,-0.569946,-0.065186,0.810364,0.057251,-0.576416,-0.087402,0.669434,-0.199158,-0.684448,-0.208923,0.650085,-0.390137,-0.609375,-0.231689
"Gesture1",19,32,0.869141,-0.257507,0.420715,-0.034424,0.522339,0.529358,-0.133179,0.655029,0.782227,0.237854,-0.572083,-0.064819,0.810852,0.056519,-0.575989,-0.086609,0.670471,-0.200623,-0.683228,-0.208008,0.649597,-0.391418,-0.609253,-0.231323
"Gesture1",19,33,0.868958,-0.25647,0.421814,-0.034119,0.522644,0.528137,-0.134277,0.655579,0.781128,0.237122,-0.573853,-0.064392,0.810974,0.055603,-0.575989,-0.085815,0.671387,-0.20166,-0.682251,-0.207275,0.649414,-0.392639,-0.608704,-0.231262
"Gesture1",19,34,0.868835,-0.256042,0.422302,-0.033875,0.522644,0.527527,-0.135254,0.655884,0.779968,0.236938,-0.575623,-0.064087,0.811035,0.055237,-0.57605,-0.085205,0.672607,-0.201965,-0.681091,-0.20697,0.649719,-0.392944,-0.608093,-0.231445
"Gesture1",19,35,0.868958,-0.255798,0.422241,-0.033569,0.522583,0.527466,-0.135681,0.655884,0.779541,0.237183,-0.57605,-0.064087,0.81134,0.055481,-0.575562,-0.085144,0.674255,-0.201843,-0.679443,-0.20697,0.650391,-0.392883,-0.607361,-0.231567
"Gesture1",19,36,0.869263,-0.255737,0.421692,-0.033386,0.522888,0.527771,-0.135498,0.655396,0.77948,0.237122,-0.576172,-0.064087,0.811951,0.055664,-0.574768,-0.085022,0.67627,-0.202087,-0.67749,-0.206726,0.651062,-0.392883,-0.606689,-0.231445
"Gesture1",19,37,0.869629,-0.255493,0.421021,-0.033325,0.52356,0.528259,-0.135071,0.654602,0.780151,0.236572,-0.5755,-0.064087,0.813171,0.055542,-0.572998,-0.085083,0.679077,-0.202576,-0.674438,-0.20697,0.6521,-0.393188,-0.605408,-0.231384
"Gesture1",19,38,0.870361,-0.254944,0.419861,-0.033447,0.524597,0.528809,-0.134644,0.65332,0.781067,0.23584,-0.574524,-0.064087,0.814697,0.055115,-0.570801,-0.085449,0.681946,-0.203125,-0.671387,-0.20697,0.653687,-0.393433,-0.603516,-0.231445
"Gesture1",19,39,0.871155,-0.254517,0.418457,-0.033447,0.525879,0.529602,-0.133789,0.651917,0.782593,0.235168,-0.572754,-0.064026,0.816406,0.055115,-0.568359,-0.085693,0.684387,-0.203308,-0.668884,-0.206787,0.655273,-0.393433,-0.601929,-0.23114
"Gesture1",19,40,0.871887,-0.254211,0.417053,-0.033447,0.527283,0.530334,-0.132568,0.650391,0.783752,0.234558,-0.57135,-0.064148,0.81781,0.055054,-0.566284,-0.085876,0.686646,-0.203552,-0.666504,-0.206787,0.656982,-0.393372,-0.600098,-0.231018
"Gesture1",19,41,0.872498,-0.253845,0.416016,-0.03363,0.528748,0.530884,-0.131897,0.648926,0.784912,0.233765,-0.570129,-0.064453,0.819092,0.054749,-0.564453,-0.086243,0.688477,-0.203735,-0.66449,-0.20697,0.658325,-0.393372,-0.598633,-0.231018
"Gesture1",19,42,0.872864,-0.253479,0.415405,-0.033813,0.53009,0.531189,-0.131958,0.647522,0.785156,0.233032,-0.570068,-0.064758,0.820068,0.054443,-0.562927,-0.086731,0.689636,-0.203857,-0.663147,-0.207214,0.659607,-0.393372,-0.597168,-0.231323
"Gesture1",19,43,0.873047,-0.253479,0.415161,-0.033936,0.53125,0.531433,-0.132324,0.646362,0.785461,0.232605,-0.569824,-0.06488,0.820557,0.054199,-0.562195,-0.086975,0.690674,-0.203552,-0.662109,-0.207458,0.660522,-0.393005,-0.596191,-0.231628
"Gesture1",19,44,0.873047,-0.25354,0.414978,-0.033936,0.531982,0.531555,-0.132751,0.645508,0.785583,0.232422,-0.569702,-0.064819,0.820923,0.054321,-0.561646,-0.087219,0.691528,-0.203308,-0.661255,-0.207581,0.661011,-0.392456,-0.595825,-0.232056
"Gesture1",19,45,0.872986,-0.253723,0.4151,-0.033813,0.532532,0.531433,-0.13324,0.645081,0.785767,0.232239,-0.569519,-0.064758,0.821289,0.054382,-0.561096,-0.087341,0.692383,-0.203369,-0.660278,-0.207703,0.661377,-0.392212,-0.595459,-0.232483
"Gesture1",19,46,0.872864,-0.253723,0.415344,-0.033691,0.532959,0.53125,-0.133728,0.644775,0.785889,0.231873,-0.569519,-0.064819,0.821777,0.054321,-0.560364,-0.087585,0.693237,-0.203674,-0.659302,-0.207642,0.66156,-0.392212,-0.595154,-0.232788
"Gesture1",19,47,0.87262,-0.25354,0.415894,-0.033569,0.533447,0.530762,-0.134399,0.644653,0.785706,0.231262,-0.570007,-0.064697,0.822144,0.053955,-0.559814,-0.087646,0.693848,-0.204224,-0.658508,-0.207581,0.661682,-0.392639,-0.594666,-0.232971
"Gesture1",19,48,0.872375,-0.253235,0.416687,-0.033508,0.53363,0.530273,-0.135254,0.644714,0.785583,0.230591,-0.570496,-0.064331,0.822632,0.053345,-0.559143,-0.087646,0.694519,-0.204651,-0.657715,-0.20752,0.661682,-0.393066,-0.59436,-0.233154
"Gesture1",19,49,0.87207,-0.253052,0.417419,-0.033569,0.53363,0.529785,-0.13623,0.644897,0.785583,0.230103,-0.57074,-0.063782,0.823486,0.05304,-0.557983,-0.087585,0.695068,-0.204712,-0.657166,-0.207458,0.661499,-0.393127,-0.59436,-0.233398
"Gesture1",19,50,0.871704,-0.253296,0.417969,-0.033569,0.533264,0.529663,-0.136902,0.645142,0.785706,0.229858,-0.57074,-0.06311,0.824097,0.052917,-0.557129,-0.087402,0.695496,-0.204346,-0.656799,-0.20752,0.661438,-0.392883,-0.594421,-0.233765
"Gesture1",19,51,0.871399,-0.253845,0.418274,-0.033569,0.532715,0.530334,-0.136353,0.645203,0.785217,0.230103,-0.571228,-0.063782,0.824402,0.053223,-0.55658,-0.08728,0.696594,-0.203613,-0.65564,-0.208069,0.66156,-0.392273,-0.594482,-0.234436
"Gesture1",19,52,0.871094,-0.254272,0.41864,-0.033752,0.532104,0.53125,-0.135193,0.645142,0.784607,0.230652,-0.571594,-0.066162,0.824951,0.053833,-0.555542,-0.088196,0.698303,-0.203552,-0.653625,-0.208801,0.661987,-0.392578,-0.593506,-0.235168
"Gesture1",19,53,0.87085,-0.254578,0.418945,-0.034058,0.531311,0.532166,-0.134277,0.645264,0.783936,0.232971,-0.571045,-0.07074,0.825623,0.054749,-0.554077,-0.090881,0.700012,-0.203003,-0.65155,-0.210144,0.66272,-0.392578,-0.592163,-0.236572
"Gesture1",19,54,0.870667,-0.254883,0.419128,-0.034424,0.530396,0.533325,-0.133606,0.645203,0.782471,0.235779,-0.571289,-0.075317,0.826233,0.056885,-0.552368,-0.094543,0.701416,-0.202454,-0.64978,-0.211365,0.663269,-0.392456,-0.591064,-0.237915
"Gesture1",19,55,0.870483,-0.255249,0.419373,-0.034607,0.529419,0.534424,-0.133118,0.645203,0.781372,0.23822,-0.57135,-0.078613,0.826172,0.058289,-0.55188,-0.096863,0.702881,-0.202332,-0.648071,-0.211914,0.663391,-0.3927,-0.590454,-0.238586
"Gesture1",19,56,0.870239,-0.255615,0.419617,-0.034607,0.528564,0.534973,-0.132812,0.645508,0.781006,0.240051,-0.570862,-0.080444,0.826599,0.059387,-0.550842,-0.098328,0.703857,-0.202393,-0.646851,-0.21228,0.663757,-0.393005,-0.5896,-0.239136
