timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
139,0.99712,-0.014216,0.024433,-0.070306,0.852963,0.237609,0.436999,0.158148,0.972577,0.114313,-0.111464,0.169074,0.972454,0.094856,0.065185,-0.202654,0.987733,0.050066,0.103438,0.105643,0.973193,0.017952,0.109433,-0.201446
140,0.997153,-0.014138,0.024134,-0.069963,0.85308,0.23761,0.436906,0.157776,0.972772,0.114006,-0.110616,0.168713,0.972435,0.094526,0.064871,-0.203003,0.987796,0.050063,0.103162,0.105322,0.973155,0.017962,0.109118,-0.201798
141,0.997189,-0.014051,0.023825,-0.069573,0.853203,0.237624,0.436808,0.157357,0.972976,0.113694,-0.109764,0.168302,0.972405,0.094187,0.064561,-0.203399,0.987865,0.050067,0.102885,0.104949,0.973106,0.017972,0.108809,-0.2022
142,0.997225,-0.013954,0.023499,-0.069189,0.853324,0.237635,0.436717,0.156939,0.973181,0.113376,-0.108894,0.167898,0.972374,0.093835,0.064266,-0.203805,0.987932,0.050079,0.102617,0.104574,0.973056,0.01798,0.108513,-0.202601
143,0.997257,-0.013846,0.023151,-0.068863,0.85343,0.237614,0.436654,0.156564,0.973373,0.113107,-0.108014,0.167532,0.972349,0.093508,0.063979,-0.204164,0.987992,0.05009,0.102368,0.104247,0.973012,0.01799,0.108236,-0.202956
144,0.997292,-0.013742,0.022814,-0.068483,0.853549,0.237616,0.436566,0.156157,0.97357,0.112852,-0.107157,0.167111,0.972313,0.093201,0.063672,-0.204573,0.988058,0.050122,0.102098,0.103867,0.97296,0.018014,0.107947,-0.203359
145,0.997326,-0.013641,0.022484,-0.068115,0.853671,0.237604,0.436472,0.155773,0.973763,0.112587,-0.106309,0.166703,0.972281,0.092879,0.06336,-0.204969,0.988124,0.050129,0.101823,0.103507,0.972913,0.018021,0.107655,-0.203737
146,0.997361,-0.013545,0.022171,-0.067731,0.853807,0.23758,0.436355,0.15539,0.973958,0.112307,-0.105477,0.166282,0.972247,0.092547,0.063033,-0.20538,0.988193,0.050112,0.101532,0.103136,0.972866,0.018012,0.107352,-0.204122
147,0.997395,-0.013448,0.02183,-0.06736,0.853934,0.237551,0.436259,0.155009,0.974153,0.11202,-0.10462,0.165873,0.972213,0.092215,0.062729,-0.205779,0.98826,0.050084,0.101262,0.102774,0.972819,0.017988,0.107071,-0.204496
148,0.997428,-0.013346,0.021501,-0.067002,0.854066,0.237516,0.436152,0.154633,0.974344,0.111737,-0.103771,0.165479,0.972183,0.091889,0.062415,-0.206166,0.988325,0.050074,0.100987,0.102422,0.972773,0.017982,0.10678,-0.204867
