gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Base",8,105,0.951301,-0.057539,0.202145,-0.225487,0.903823,-0.14484,-0.079232,0.394753,0.97042,0.17873,-0.134131,-0.091279,0.95143,0.004972,-0.178877,0.250485,0.701011,-0.661173,-0.227154,0.140773,0.962399,-0.080356,-0.249815,0.070052
"Base",8,106,0.951469,-0.057307,0.201684,-0.225248,0.903943,-0.144645,-0.079305,0.394535,0.970662,0.177738,-0.133422,-0.09168,0.951596,0.005154,-0.178092,0.25041,0.701153,-0.661139,-0.226634,0.141067,0.962598,-0.080176,-0.249104,0.070046
"Base",8,107,0.951669,-0.057068,0.20113,-0.224963,0.904081,-0.144393,-0.079282,0.394317,0.970897,0.176721,-0.132728,-0.09217,0.951791,0.005318,-0.177223,0.250282,0.701327,-0.661044,-0.226184,0.141366,0.96282,-0.079992,-0.248317,0.070004
"Base",8,108,0.951883,-0.056828,0.200578,-0.224608,0.904248,-0.144135,-0.07925,0.394035,0.971084,0.175755,-0.132224,-0.092763,0.952003,0.005448,-0.176376,0.25007,0.701565,-0.660914,-0.225641,0.141663,0.963054,-0.07977,-0.247515,0.069881
"Base",8,109,0.952133,-0.056588,0.200017,-0.224108,0.904475,-0.143883,-0.079174,0.393619,0.971015,0.17582,-0.132266,-0.093302,0.952254,0.005622,-0.175512,0.249719,0.701869,-0.660757,-0.224945,0.141993,0.963307,-0.07953,-0.246683,0.0696
"Base",8,110,0.952386,-0.056285,0.199503,-0.223568,0.904719,-0.143631,-0.079129,0.393159,0.971122,0.174875,-0.132169,-0.094102,0.952506,0.005879,-0.174651,0.249353,0.702198,-0.660582,-0.224268,0.142255,0.963554,-0.079286,-0.245892,0.069268
"Base",8,111,0.952486,-0.055884,0.199889,-0.222896,0.904986,-0.143656,-0.079871,0.392386,0.970926,0.174822,-0.133202,-0.094764,0.952625,0.005987,-0.174784,0.248805,0.702618,-0.660657,-0.223263,0.141409,0.963682,-0.078859,-0.245697,0.068658
"Base",8,112,0.952485,-0.055395,0.200782,-0.22222,0.905256,-0.143788,-0.080959,0.39149,0.970869,0.174425,-0.133681,-0.095404,0.952661,0.006291,-0.175301,0.248292,0.703057,-0.660821,-0.222179,0.140161,0.963729,-0.078386,-0.24586,0.067953
"Base",8,113,0.952431,-0.054861,0.201826,-0.221636,0.905499,-0.14384,-0.082062,0.39068,0.970596,0.175195,-0.134461,-0.095669,0.952634,0.006847,-0.175942,0.247927,0.703478,-0.661014,-0.221,0.139002,0.963748,-0.077844,-0.246131,0.067319
"Base",8,114,0.95237,-0.054344,0.202701,-0.221229,0.905677,-0.143854,-0.082956,0.390073,0.970416,0.175782,-0.134903,-0.095802,0.952591,0.007485,-0.176385,0.24776,0.703861,-0.661129,-0.219878,0.13829,0.963776,-0.077265,-0.246321,0.066894
"Base",8,115,0.952333,-0.053896,0.203229,-0.221014,0.905767,-0.143873,-0.083641,0.389711,0.970289,0.176254,-0.135197,-0.095806,0.952559,0.007968,-0.176553,0.24775,0.704137,-0.661198,-0.218873,0.138151,0.963831,-0.076729,-0.246321,0.066714
"Base",8,116,0.952322,-0.053525,0.203434,-0.220962,0.905771,-0.143962,-0.084202,0.389545,0.970191,0.176612,-0.135496,-0.095712,0.952548,0.008072,-0.176511,0.247819,0.704436,-0.661204,-0.21776,0.138359,0.963906,-0.076297,-0.246156,0.066741
"Base",8,117,0.952335,-0.053246,0.203331,-0.221067,0.905708,-0.144062,-0.084586,0.389573,0.970145,0.17661,-0.135914,-0.095588,0.952552,0.008184,-0.176169,0.248041,0.704424,-0.661293,-0.217354,0.138631,0.963998,-0.076007,-0.245829,0.066945
"Base",8,118,0.952362,-0.052996,0.203109,-0.221213,0.905639,-0.144079,-0.084826,0.389674,0.970372,0.175773,-0.13538,-0.095588,0.952569,0.008377,-0.175672,0.248323,0.70437,-0.661385,-0.21706,0.138926,0.964101,-0.075775,-0.245428,0.067199
"Base",8,119,0.952405,-0.05274,0.202834,-0.221342,0.90558,-0.144089,-0.085009,0.389767,0.970602,0.174861,-0.134882,-0.095633,0.952601,0.0086,-0.175098,0.248596,0.704325,-0.66146,-0.216763,0.139261,0.964213,-0.075559,-0.244985,0.067451
"Base",8,120,0.952468,-0.052465,0.202574,-0.221377,0.905563,-0.144033,-0.085158,0.389795,0.970805,0.173984,-0.134452,-0.095773,0.952656,0.00879,-0.17454,0.248771,0.704358,-0.661492,-0.216354,0.139576,0.964339,-0.075309,-0.244519,0.067616
"Base",8,121,0.952546,-0.052167,0.202379,-0.22129,0.905592,-0.143984,-0.08536,0.389702,0.970979,0.173287,-0.133936,-0.095991,0.952733,0.008974,-0.174038,0.248822,0.704486,-0.661486,-0.2158,0.139821,0.964477,-0.075008,-0.244051,0.067671
"Base",8,122,0.952625,-0.051845,0.202239,-0.221155,0.905642,-0.143921,-0.085577,0.389561,0.970993,0.17353,-0.133496,-0.096034,0.952812,0.009246,-0.173559,0.248845,0.704662,-0.661462,-0.215137,0.140065,0.964615,-0.074688,-0.243597,0.067701
"Base",8,123,0.95272,-0.051535,0.20208,-0.220962,0.905724,-0.143783,-0.085719,0.389391,0.970924,0.173894,-0.133449,-0.09613,0.952908,0.009569,-0.173052,0.24882,0.704845,-0.661436,-0.21443,0.140349,0.964759,-0.074391,-0.243119,0.067688
"Base",8,124,0.952833,-0.051249,0.201837,-0.220762,0.905808,-0.143623,-0.085798,0.389237,0.97096,0.174061,-0.132869,-0.09627,0.953018,0.009887,-0.172477,0.248785,0.705019,-0.661393,-0.213791,0.140652,0.964916,-0.074117,-0.242581,0.067688
"Base",8,125,0.95295,-0.050985,0.201501,-0.220626,0.905859,-0.143487,-0.085851,0.389156,0.970919,0.173892,-0.133233,-0.096483,0.953128,0.010131,-0.171833,0.248797,0.705151,-0.661346,-0.213247,0.141038,0.965075,-0.073874,-0.241998,0.067767
"Base",8,126,0.953068,-0.050742,0.201151,-0.220492,0.905903,-0.143395,-0.085939,0.389069,0.970881,0.173759,-0.133548,-0.096673,0.95324,0.010334,-0.171193,0.248803,0.705269,-0.661308,-0.212749,0.141376,0.965233,-0.073661,-0.241411,0.067849
"Base",8,127,0.953182,-0.050498,0.200812,-0.220363,0.905943,-0.143319,-0.086047,0.388981,0.971073,0.173035,-0.132885,-0.096952,0.953348,0.010548,-0.170548,0.24882,0.705382,-0.66129,-0.212253,0.141639,0.96539,-0.073458,-0.240818,0.067939
"Base",8,128,0.953297,-0.050239,0.200485,-0.220223,0.905992,-0.143198,-0.086126,0.388893,0.971246,0.172539,-0.132097,-0.097185,0.95346,0.010819,-0.169878,0.248841,0.705502,-0.661279,-0.211728,0.141885,0.965549,-0.073266,-0.240214,0.068018
"Base",8,129,0.953428,-0.049973,0.20008,-0.220083,0.906048,-0.143018,-0.086102,0.388834,0.971236,0.172805,-0.13176,-0.097267,0.953584,0.011085,-0.169128,0.248862,0.705619,-0.661246,-0.21118,0.142275,0.965723,-0.073092,-0.239544,0.068101
"Base",8,130,0.953575,-0.049703,0.199645,-0.219905,0.906115,-0.142854,-0.08608,0.388743,0.971189,0.17296,-0.131783,-0.097432,0.953725,0.011303,-0.168362,0.248833,0.705751,-0.661197,-0.210633,0.142655,0.965907,-0.072919,-0.238844,0.068145
"Base",8,131,0.953727,-0.049432,0.199205,-0.219705,0.906185,-0.14272,-0.086083,0.388629,0.971374,0.172109,-0.131226,-0.097839,0.953872,0.011495,-0.167595,0.248778,0.705898,-0.661142,-0.210082,0.142992,0.966095,-0.072737,-0.238129,0.068165
"Base",8,132,0.953879,-0.049151,0.198785,-0.219488,0.906261,-0.142585,-0.086099,0.388497,0.971557,0.17138,-0.130536,-0.098225,0.954019,0.011706,-0.166841,0.24871,0.70605,-0.661097,-0.209511,0.143291,0.966283,-0.072555,-0.237421,0.06816
"Base",8,133,0.954033,-0.048871,0.198356,-0.219269,0.906343,-0.142424,-0.086077,0.38837,0.971505,0.171523,-0.130585,-0.098434,0.954168,0.011952,-0.166066,0.248649,0.706204,-0.661043,-0.20893,0.143629,0.966473,-0.072373,-0.236707,0.068149
"Base",8,134,0.954205,-0.048605,0.197873,-0.219018,0.906441,-0.142228,-0.085996,0.38823,0.971665,0.170581,-0.130251,-0.098928,0.954332,0.012209,-0.165243,0.248552,0.706367,-0.660964,-0.208358,0.144023,0.966674,-0.072191,-0.235957,0.068101
"Base",8,135,0.954405,-0.048364,0.197277,-0.218733,0.906553,-0.142016,-0.085856,0.388079,0.971705,0.169964,-0.130386,-0.09942,0.954524,0.012477,-0.164318,0.248418,0.706574,-0.660813,-0.20783,0.14446,0.966899,-0.071978,-0.235118,0.068023
"Base",8,136,0.954584,-0.048097,0.196702,-0.218532,0.906623,-0.141846,-0.085764,0.387998,0.971666,0.170091,-0.13034,-0.099646,0.954689,0.012715,-0.163414,0.248365,0.706748,-0.660688,-0.207311,0.144926,0.967112,-0.071761,-0.234307,0.068024
"Base",8,137,0.954729,-0.047832,0.196178,-0.218429,0.906654,-0.141718,-0.085709,0.387984,0.971641,0.170286,-0.130196,-0.09974,0.954822,0.012906,-0.16257,0.248401,0.706862,-0.660628,-0.206748,0.14545,0.967306,-0.071541,-0.233548,0.068108
"Base",8,138,0.954875,-0.047584,0.195678,-0.218289,0.906703,-0.141582,-0.085652,0.38793,0.971719,0.169544,-0.130329,-0.100074,0.95496,0.01313,-0.161726,0.248409,0.706967,-0.660577,-0.206222,0.145913,0.967493,-0.071344,-0.232822,0.06815
"Base",8,139,0.955043,-0.04733,0.195137,-0.218094,0.906778,-0.141414,-0.085557,0.387839,0.971935,0.168683,-0.129531,-0.100463,0.955116,0.013366,-0.160847,0.248367,0.707087,-0.66051,-0.205745,0.146308,0.967692,-0.071171,-0.232047,0.068151
"Base",8,140,0.955209,-0.047058,0.194608,-0.217899,0.906847,-0.141253,-0.085497,0.38775,0.972084,0.168398,-0.128584,-0.100717,0.955271,0.013553,-0.159989,0.248316,0.707235,-0.660426,-0.205258,0.146654,0.967891,-0.070986,-0.231268,0.068163
"Base",8,141,0.955338,-0.046778,0.194254,-0.21771,0.906913,-0.141149,-0.08559,0.387612,0.972028,0.168469,-0.128772,-0.100898,0.955394,0.013758,-0.159303,0.248272,0.707404,-0.660371,-0.204658,0.146927,0.968064,-0.070752,-0.230614,0.068163
"Base",8,142,0.955422,-0.046485,0.194007,-0.217623,0.906938,-0.14107,-0.085769,0.387543,0.972017,0.168119,-0.129185,-0.101059,0.955471,0.014001,-0.158712,0.248339,0.707521,-0.660393,-0.203997,0.147185,0.968212,-0.070514,-0.230038,0.068253
"Base",8,143,0.955508,-0.046212,0.193758,-0.217526,0.906974,-0.140995,-0.08591,0.387454,0.972037,0.168308,-0.128778,-0.101069,0.95555,0.014229,-0.158132,0.248394,0.707584,-0.660438,-0.20341,0.14749,0.96835,-0.070315,-0.229499,0.068319
"Base",8,144,0.955628,-0.045951,0.193424,-0.217354,0.907041,-0.140891,-0.085996,0.387317,0.97223,0.167515,-0.128104,-0.10139,0.95566,0.014477,-0.157472,0.248374,0.707681,-0.660443,-0.202907,0.147692,0.968508,-0.070134,-0.228888,0.068312
"Base",8,145,0.95576,-0.045673,0.193065,-0.217149,0.907115,-0.14077,-0.086086,0.387166,0.972402,0.166944,-0.127294,-0.101695,0.955785,0.014663,-0.156799,0.248309,0.707818,-0.660412,-0.202422,0.147843,0.968678,-0.069919,-0.228243,0.068283
"Base",8,146,0.955883,-0.045387,0.192761,-0.216939,0.907192,-0.140668,-0.086216,0.386996,0.972348,0.166966,-0.127526,-0.101887,0.955901,0.014877,-0.156167,0.248248,0.707988,-0.660369,-0.201828,0.148034,0.968842,-0.069681,-0.22763,0.068248
"Base",8,147,0.955972,-0.045107,0.192593,-0.216752,0.90726,-0.140576,-0.086457,0.386815,0.972304,0.167207,-0.127479,-0.101974,0.955985,0.015132,-0.155677,0.248215,0.708156,-0.660336,-0.201203,0.148229,0.968979,-0.06941,-0.227138,0.068218
"Base",8,148,0.956057,-0.044836,0.192431,-0.216578,0.907338,-0.140486,-0.086703,0.38661,0.972477,0.166403,-0.126977,-0.10227,0.956065,0.01539,-0.155191,0.248198,0.708302,-0.660327,-0.2006,0.148392,0.969112,-0.069146,-0.226652,0.068201
"Base",8,149,0.956155,-0.044587,0.192204,-0.216401,0.907419,-0.140383,-0.086925,0.386406,0.972638,0.165891,-0.126214,-0.102505,0.956154,0.015639,-0.154648,0.248177,0.708432,-0.660304,-0.200062,0.148593,0.969252,-0.068914,-0.22613,0.068189
"Base",8,150,0.956265,-0.04436,0.191873,-0.216254,0.907495,-0.140269,-0.087088,0.386233,0.972758,0.165721,-0.125396,-0.102647,0.956253,0.015849,-0.154018,0.248173,0.70854,-0.660262,-0.199597,0.148895,0.9694,-0.068707,-0.225551,0.068213
"Base",8,151,0.956385,-0.044155,0.191444,-0.216144,0.907551,-0.140152,-0.087191,0.386119,0.972926,0.16473,-0.125138,-0.102972,0.956358,0.016036,-0.153305,0.248199,0.708631,-0.660197,-0.199191,0.149289,0.969557,-0.068512,-0.224911,0.068282
"Base",8,152,0.956515,-0.043951,0.190975,-0.216026,0.907607,-0.140033,-0.087255,0.386018,0.973129,0.16379,-0.124526,-0.103293,0.956473,0.016229,-0.152539,0.248213,0.708721,-0.660127,-0.198807,0.149686,0.96972,-0.068328,-0.224245,0.068343
"Base",8,153,0.956651,-0.043751,0.190466,-0.215916,0.907662,-0.139891,-0.087255,0.38594,0.973299,0.162813,-0.124193,-0.103633,0.956593,0.016447,-0.151726,0.248237,0.708815,-0.66004,-0.198423,0.150134,0.969887,-0.068145,-0.223555,0.068415
"Base",8,154,0.956795,-0.043546,0.189979,-0.215747,0.90774,-0.139727,-0.087238,0.38582,0.973273,0.162698,-0.124369,-0.10385,0.956724,0.016678,-0.150932,0.248199,0.708928,-0.659956,-0.198003,0.150521,0.970056,-0.067963,-0.222873,0.068424
"Base",8,155,0.956944,-0.043329,0.189516,-0.215538,0.907832,-0.139556,-0.087223,0.385668,0.973438,0.161807,-0.123885,-0.104273,0.956862,0.016921,-0.150158,0.248121,0.709065,-0.659869,-0.197558,0.150841,0.970228,-0.067773,-0.222192,0.068391
"Base",8,156,0.957094,-0.043114,0.189061,-0.215314,0.907935,-0.139365,-0.087185,0.385504,0.973388,0.162052,-0.123792,-0.104468,0.957002,0.017203,-0.149382,0.24803,0.709223,-0.659769,-0.197078,0.151164,0.970403,-0.067559,-0.221511,0.068335
"Base",8,157,0.957244,-0.042875,0.18864,-0.215063,0.908049,-0.139182,-0.087141,0.38531,0.973346,0.162321,-0.123596,-0.104673,0.957144,0.017495,-0.148626,0.247917,0.70938,-0.659684,-0.19656,0.151473,0.970573,-0.067353,-0.220854,0.068247
"Base",8,158,0.957414,-0.042655,0.188225,-0.214712,0.908209,-0.138959,-0.087085,0.385026,0.97329,0.162616,-0.12339,-0.104978,0.957308,0.017852,-0.147865,0.247713,0.709593,-0.659566,-0.195996,0.151718,0.970759,-0.067096,-0.220173,0.068058
"Base",8,159,0.957574,-0.042412,0.187735,-0.214475,0.908324,-0.138711,-0.086955,0.384874,0.973451,0.161806,-0.122805,-0.105424,0.957457,0.0182,-0.147009,0.24762,0.70979,-0.659426,-0.195431,0.152135,0.970949,-0.066834,-0.219433,0.067998
"Base",8,160,0.957722,-0.042195,0.187248,-0.214284,0.908414,-0.13851,-0.086847,0.38476,0.973393,0.161998,-0.122846,-0.105619,0.957591,0.018507,-0.146196,0.247561,0.709943,-0.659297,-0.194895,0.152663,0.971122,-0.06658,-0.218748,0.067973
"Base",8,161,0.957859,-0.041998,0.186778,-0.214118,0.908485,-0.138373,-0.086803,0.38465,0.973558,0.161109,-0.122366,-0.106004,0.957716,0.018794,-0.145408,0.247522,0.710065,-0.659208,-0.194408,0.153101,0.97129,-0.066343,-0.21808,0.067965
"Base",8,162,0.957989,-0.041806,0.186307,-0.213989,0.908541,-0.138234,-0.086774,0.384575,0.973566,0.161373,-0.121887,-0.106091,0.957831,0.01907,-0.144618,0.247517,0.710165,-0.65913,-0.19401,0.153482,0.971451,-0.066118,-0.217414,0.068007
