gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Gesture2",11,24,0.582405,0.496161,0.217954,-0.605901,0.87544,-0.329548,0.335831,0.11047,-0.638721,0.385543,-0.074554,-0.661678,0.556141,-0.734167,0.22152,0.320341,0.164059,-0.866236,0.260363,0.393591,0.879038,-0.463152,0.025415,0.110087
"Gesture2",11,25,0.582458,0.496108,0.217939,-0.605898,0.875296,-0.329296,0.336369,0.110725,-0.638729,0.384917,-0.074641,-0.662024,0.556344,-0.734198,0.22146,0.319959,0.164009,-0.866302,0.260563,0.393335,0.879079,-0.463021,0.025009,0.110407
"Gesture2",11,26,0.582536,0.496067,0.217905,-0.60587,0.875164,-0.328983,0.33694,0.110964,-0.638744,0.384295,-0.074705,-0.662364,0.556527,-0.734352,0.221017,0.319591,0.163978,-0.866399,0.260697,0.393044,0.879022,-0.463234,0.024523,0.110076
"Gesture2",11,27,0.582603,0.496026,0.217816,-0.605871,0.875008,-0.328681,0.337565,0.111191,-0.63873,0.383659,-0.074836,-0.662731,0.556627,-0.734464,0.220412,0.319579,0.163911,-0.866593,0.260441,0.392815,0.878956,-0.463433,0.02404,0.109873
"Gesture2",11,28,0.582678,0.495982,0.217704,-0.605875,0.874846,-0.328386,0.338201,0.1114,-0.638702,0.383037,-0.075,-0.663099,0.556673,-0.73444,0.219954,0.31987,0.163863,-0.866664,0.259887,0.393046,0.878884,-0.463627,0.023573,0.10973
"Gesture2",11,29,0.582789,0.495927,0.217616,-0.605846,0.874702,-0.328056,0.338832,0.111586,-0.638721,0.382396,-0.075178,-0.66343,0.556749,-0.73438,0.22028,0.31965,0.163866,-0.866649,0.259432,0.393377,0.878837,-0.46377,0.023115,0.109599
"Gesture2",11,30,0.58289,0.495867,0.217509,-0.605836,0.874544,-0.327736,0.339485,0.111784,-0.638746,0.381726,-0.075376,-0.66377,0.556831,-0.7345,0.219938,0.319467,0.163828,-0.866764,0.259419,0.393148,0.878803,-0.463857,0.022693,0.109586
"Gesture2",11,31,0.582981,0.495825,0.217335,-0.605845,0.874372,-0.327431,0.340147,0.112004,-0.638736,0.381081,-0.07555,-0.664131,0.55693,-0.734321,0.219694,0.319875,0.163868,-0.866568,0.259242,0.393681,0.878812,-0.463842,0.022321,0.109659
"Gesture2",11,32,0.583115,0.495782,0.217134,-0.605823,0.8742,-0.327098,0.340837,0.112226,-0.638744,0.380409,-0.075699,-0.66449,0.55706,-0.733889,0.21987,0.320517,0.163952,-0.866318,0.259166,0.394244,0.878855,-0.463751,0.022004,0.109761
"Gesture2",11,33,0.583237,0.495713,0.21693,-0.605836,0.874003,-0.326779,0.34156,0.112494,-0.638731,0.379703,-0.075857,-0.664888,0.557141,-0.733599,0.219757,0.321118,0.164001,-0.865974,0.259276,0.394908,0.878901,-0.463626,0.021708,0.109984
"Gesture2",11,34,0.583382,0.495659,0.216745,-0.605806,0.873833,-0.326424,0.342254,0.11273,-0.638753,0.379024,-0.07598,-0.665241,0.557203,-0.733332,0.219649,0.321693,0.164099,-0.865666,0.259294,0.39553,0.878937,-0.46355,0.021371,0.110079
"Gesture2",11,35,0.583508,0.495629,0.21654,-0.605782,0.873655,-0.326101,0.342951,0.112928,-0.63875,0.378402,-0.076149,-0.665578,0.557202,-0.733097,0.219581,0.322275,0.16418,-0.865412,0.25925,0.396081,0.878943,-0.463548,0.021047,0.110103
"Gesture2",11,36,0.583648,0.495619,0.216355,-0.605721,0.873497,-0.325772,0.343624,0.11305,-0.638763,0.377843,-0.076315,-0.665864,0.557203,-0.732833,0.219609,0.322855,0.164285,-0.86517,0.259215,0.396588,0.878956,-0.463541,0.02071,0.110093
"Gesture2",11,37,0.583792,0.495621,0.216221,-0.60563,0.873366,-0.325447,0.344244,0.113119,-0.638812,0.377321,-0.076485,-0.666094,0.557259,-0.732447,0.219942,0.323407,0.164413,-0.864894,0.259303,0.397078,0.878991,-0.463469,0.020386,0.110178
"Gesture2",11,38,0.583848,0.495662,0.216105,-0.605583,0.873228,-0.325215,0.344795,0.113175,-0.638831,0.376849,-0.076699,-0.666319,0.557286,-0.732082,0.22045,0.323841,0.164465,-0.864646,0.259436,0.397512,0.878989,-0.463453,0.020053,0.110323
"Gesture2",11,39,0.583891,0.495743,0.216023,-0.605505,0.873125,-0.324982,0.345264,0.113199,-0.638876,0.376438,-0.076877,-0.666487,0.557378,-0.731723,0.220974,0.324138,0.164545,-0.864385,0.259731,0.397852,0.87901,-0.463387,0.019743,0.110484
"Gesture2",11,40,0.583912,0.495848,0.215961,-0.605421,0.87304,-0.324758,0.345688,0.113207,-0.638942,0.376076,-0.077022,-0.666611,0.557492,-0.731374,0.221453,0.324402,0.164628,-0.864103,0.260291,0.398065,0.87907,-0.463212,0.019551,0.110775
"Gesture2",11,41,0.583901,0.495967,0.215899,-0.605356,0.872959,-0.324539,0.346094,0.113218,-0.639016,0.375718,-0.077192,-0.666723,0.557595,-0.731136,0.222039,0.324361,0.164659,-0.863913,0.261083,0.397945,0.879158,-0.462941,0.019664,0.111193
"Gesture2",11,42,0.58389,0.496106,0.215876,-0.605261,0.872911,-0.324265,0.346473,0.113218,-0.639142,0.375343,-0.077367,-0.666793,0.557739,-0.730971,0.222542,0.324139,0.164708,-0.863845,0.261828,0.397583,0.879263,-0.462663,0.020064,0.111446
"Gesture2",11,43,0.583838,0.496265,0.215827,-0.605198,0.872849,-0.324015,0.346856,0.113235,-0.639249,0.374979,-0.077579,-0.66687,0.557826,-0.730948,0.222964,0.323754,0.16469,-0.863888,0.262467,0.397076,0.879307,-0.462559,0.02061,0.111433
"Gesture2",11,44,0.583793,0.496433,0.215776,-0.605122,0.872793,-0.323753,0.347235,0.11326,-0.639356,0.37463,-0.077763,-0.666943,0.557926,-0.730884,0.223434,0.323399,0.164687,-0.863925,0.263123,0.396561,0.879362,-0.462433,0.021151,0.111421
"Gesture2",11,45,0.583753,0.496584,0.215722,-0.605056,0.872722,-0.323484,0.347645,0.113317,-0.639447,0.374261,-0.077939,-0.667042,0.558057,-0.730776,0.2239,0.323095,0.164681,-0.863968,0.263753,0.396051,0.879417,-0.462305,0.021694,0.111412
"Gesture2",11,46,0.583731,0.496697,0.215673,-0.605002,0.872633,-0.323197,0.348104,0.11341,-0.639512,0.373847,-0.078119,-0.667191,0.558229,-0.730692,0.22424,0.322753,0.164673,-0.864016,0.264324,0.395569,0.879465,-0.462191,0.022223,0.1114
"Gesture2",11,47,0.58372,0.496766,0.215633,-0.60497,0.872519,-0.322918,0.348606,0.113544,-0.639543,0.373399,-0.078295,-0.667391,0.558373,-0.730902,0.223866,0.322287,0.164621,-0.864093,0.264748,0.395138,0.879495,-0.462117,0.022725,0.111368
"Gesture2",11,48,0.583724,0.496818,0.215593,-0.604937,0.872389,-0.322666,0.349113,0.113696,-0.63955,0.372949,-0.078458,-0.667617,0.558461,-0.731133,0.223356,0.321964,0.164555,-0.86418,0.265113,0.394732,0.879505,-0.462099,0.023189,0.111268
"Gesture2",11,49,0.583718,0.496861,0.215536,-0.604928,0.87223,-0.322459,0.34965,0.113857,-0.639529,0.372488,-0.078667,-0.667869,0.558453,-0.731303,0.223346,0.3216,0.164459,-0.864252,0.2655,0.394354,0.879502,-0.462098,0.023668,0.111192
"Gesture2",11,50,0.583742,0.496891,0.215509,-0.60489,0.87209,-0.322184,0.350204,0.114004,-0.639552,0.371974,-0.078876,-0.66811,0.558471,-0.731524,0.22281,0.321437,0.16442,-0.864327,0.265841,0.393976,0.879526,-0.462052,0.024116,0.111097
