gesture,recording_id,timestep,imu0_w,imu0_x,imu0_y,imu0_z,imu1_w,imu1_x,imu1_y,imu1_z,imu2_w,imu2_x,imu2_y,imu2_z,imu3_w,imu3_x,imu3_y,imu3_z,imu4_w,imu4_x,imu4_y,imu4_z,imu5_w,imu5_x,imu5_y,imu5_z
"Base",0,0,0.92157,0.125916,0.137512,-0.340271,0.516724,0.007263,-0.180237,-0.836853,0.977783,-0.024475,0.207825,-0.005798,0.988464,-0.069458,0.077209,-0.109802,0.894836,-0.296021,0.060364,-0.32843,0.812744,-0.405762,0.232483,-0.34729
"Base",0,1,0.92157,0.125977,0.135437,-0.341187,0.515381,0.008789,-0.17926,-0.837952,0.977356,-0.024841,0.209839,-0.006287,0.988403,-0.069702,0.077698,-0.109802,0.894775,-0.296021,0.06134,-0.32843,0.812744,-0.405701,0.233459,-0.346741
"Base",0,2,0.921509,0.125854,0.134033,-0.341919,0.514099,0.009644,-0.17865,-0.838806,0.976929,-0.025146,0.21167,-0.006897,0.988342,-0.069336,0.078308,-0.110168,0.894714,-0.295715,0.062134,-0.328735,0.812744,-0.405701,0.233948,-0.346558
"Base",0,3,0.921448,0.125366,0.133179,-0.34259,0.513062,0.009888,-0.178528,-0.839478,0.976685,-0.024902,0.212891,-0.007446,0.988342,-0.06897,0.078369,-0.110535,0.894592,-0.295654,0.062195,-0.329041,0.812683,-0.405701,0.234009,-0.346558
"Base",0,4,0.921387,0.124695,0.132629,-0.343201,0.512085,0.010376,-0.178406,-0.840088,0.976624,-0.024963,0.213074,-0.007629,0.988403,-0.068481,0.078003,-0.110718,0.894714,-0.295227,0.061768,-0.329346,0.812927,-0.405701,0.233276,-0.346436
"Base",0,5,0.921387,0.123535,0.132019,-0.343872,0.510742,0.010742,-0.178711,-0.84082,0.976624,-0.024475,0.213257,-0.007812,0.988525,-0.067993,0.076355,-0.110596,0.894714,-0.294922,0.060791,-0.329651,0.813171,-0.405701,0.232666,-0.346313
"Base",0,6,0.921387,0.122009,0.131653,-0.344543,0.50946,0.011658,-0.179016,-0.841553,0.976501,-0.023315,0.213928,-0.008057,0.988708,-0.067078,0.075256,-0.110535,0.894897,-0.294312,0.059631,-0.329956,0.81366,-0.405273,0.232178,-0.346069
"Base",0,7,0.921387,0.120483,0.131348,-0.345276,0.508057,0.012634,-0.179504,-0.842285,0.976379,-0.022217,0.214539,-0.008362,0.988831,-0.065918,0.074463,-0.110596,0.895081,-0.293457,0.058472,-0.330383,0.814209,-0.404785,0.230957,-0.346008
"Base",0,8,0.921265,0.119324,0.130981,-0.346069,0.506531,0.013428,-0.179504,-0.843201,0.976257,-0.021301,0.215271,-0.00885,0.988892,-0.065063,0.074158,-0.110901,0.895203,-0.292786,0.0578,-0.33075,0.814636,-0.404419,0.229919,-0.34613
"Base",0,9,0.921204,0.118958,0.130737,-0.346436,0.504822,0.013489,-0.180054,-0.844116,0.976196,-0.02063,0.215454,-0.009399,0.988831,-0.064331,0.074585,-0.111267,0.895325,-0.292114,0.057983,-0.331116,0.81488,-0.403992,0.22998,-0.346069
"Base",0,10,0.921021,0.118591,0.130249,-0.347229,0.503662,0.013367,-0.180176,-0.844727,0.976318,-0.020203,0.214905,-0.009766,0.988831,-0.06366,0.075134,-0.111755,0.895386,-0.291443,0.058289,-0.331482,0.815063,-0.403564,0.230042,-0.346069
"Base",0,11,0.920837,0.118469,0.129883,-0.3479,0.502869,0.013245,-0.180847,-0.845032,0.97644,-0.019653,0.214539,-0.009888,0.988892,-0.06311,0.074707,-0.111816,0.895447,-0.291077,0.057983,-0.331604,0.815247,-0.40332,0.230042,-0.346008
